timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/23 21:24:42.245, NVIDIA GeForce RTX 5090, 32607 MiB, 23216 MiB, 8972 MiB, 0 %, 12.96 W, 29
2026/09/23 21:24:47.246, NVIDIA GeForce RTX 5090, 32607 MiB, 22772 MiB, 9416 MiB, 0 %, 13.15 W, 29
2026/09/23 21:24:52.247, NVIDIA GeForce RTX 5090, 32607 MiB, 21790 MiB, 10398 MiB, 0 %, 12.87 W, 29
2026/09/23 21:24:57.252, NVIDIA GeForce RTX 5090, 32607 MiB, 21790 MiB, 10398 MiB, 0 %, 13.08 W, 29
2026/09/23 21:25:02.258, NVIDIA GeForce RTX 5090, 32607 MiB, 21864 MiB, 10324 MiB, 0 %, 12.82 W, 29
2026/09/23 21:25:07.268, NVIDIA GeForce RTX 5090, 32607 MiB, 21950 MiB, 10238 MiB, 0 %, 44.98 W, 31
2026/09/23 21:25:12.271, NVIDIA GeForce RTX 5090, 32607 MiB, 21950 MiB, 10238 MiB, 0 %, 12.92 W, 29
2026/09/23 21:25:17.283, NVIDIA GeForce RTX 5090, 32607 MiB, 22040 MiB, 10148 MiB, 100 %, 119.12 W, 36
2026/09/23 21:25:22.287, NVIDIA GeForce RTX 5090, 32607 MiB, 22040 MiB, 10148 MiB, 0 %, 13.06 W, 30
2026/09/23 21:25:27.300, NVIDIA GeForce RTX 5090, 32607 MiB, 22040 MiB, 10148 MiB, 0 %, 13.09 W, 30
2026/09/23 21:25:32.312, NVIDIA GeForce RTX 5090, 32607 MiB, 22040 MiB, 10148 MiB, 2 %, 14.48 W, 30
2026/09/23 21:25:37.324, NVIDIA GeForce RTX 5090, 32607 MiB, 22140 MiB, 10048 MiB, 0 %, 120.84 W, 35
2026/09/23 21:25:42.338, NVIDIA GeForce RTX 5090, 32607 MiB, 22110 MiB, 10078 MiB, 0 %, 36.26 W, 31
2026/09/23 21:25:47.342, NVIDIA GeForce RTX 5090, 32607 MiB, 22110 MiB, 10078 MiB, 0 %, 16.33 W, 30
2026/09/23 21:25:52.355, NVIDIA GeForce RTX 5090, 32607 MiB, 22110 MiB, 10078 MiB, 0 %, 15.72 W, 30
2026/09/23 21:25:57.364, NVIDIA GeForce RTX 5090, 32607 MiB, 22110 MiB, 10078 MiB, 55 %, 85.36 W, 34
2026/09/23 21:26:02.375, NVIDIA GeForce RTX 5090, 32607 MiB, 22110 MiB, 10078 MiB, 0 %, 39.85 W, 32
2026/09/23 21:26:07.391, NVIDIA GeForce RTX 5090, 32607 MiB, 22110 MiB, 10078 MiB, 0 %, 13.71 W, 30
2026/09/23 21:26:12.401, NVIDIA GeForce RTX 5090, 32607 MiB, 22368 MiB, 9820 MiB, 28 %, 145.16 W, 39
2026/09/23 21:26:17.413, NVIDIA GeForce RTX 5090, 32607 MiB, 22368 MiB, 9820 MiB, 66 %, 113.15 W, 38
2026/09/23 21:26:22.422, NVIDIA GeForce RTX 5090, 32607 MiB, 22370 MiB, 9818 MiB, 3 %, 102.33 W, 39
2026/09/23 21:26:27.424, NVIDIA GeForce RTX 5090, 32607 MiB, 22370 MiB, 9818 MiB, 0 %, 133.41 W, 40
2026/09/23 21:26:32.436, NVIDIA GeForce RTX 5090, 32607 MiB, 22372 MiB, 9816 MiB, 0 %, 92.09 W, 36
2026/09/23 21:26:37.444, NVIDIA GeForce RTX 5090, 32607 MiB, 22372 MiB, 9816 MiB, 15 %, 56.23 W, 37
2026/09/23 21:26:42.458, NVIDIA GeForce RTX 5090, 32607 MiB, 22374 MiB, 9814 MiB, 0 %, 103.20 W, 36
2026/09/23 21:26:47.474, NVIDIA GeForce RTX 5090, 32607 MiB, 22374 MiB, 9814 MiB, 61 %, 133.99 W, 39
2026/09/23 21:26:52.484, NVIDIA GeForce RTX 5090, 32607 MiB, 22374 MiB, 9814 MiB, 47 %, 130.71 W, 39
2026/09/23 21:26:57.497, NVIDIA GeForce RTX 5090, 32607 MiB, 21976 MiB, 10212 MiB, 0 %, 37.37 W, 34
2026/09/23 21:27:02.498, NVIDIA GeForce RTX 5090, 32607 MiB, 30740 MiB, 1448 MiB, 87 %, 160.68 W, 39
2026/09/23 21:27:07.505, NVIDIA GeForce RTX 5090, 32607 MiB, 30876 MiB, 1312 MiB, 99 %, 161.11 W, 42
2026/09/23 21:27:12.513, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 37.79 W, 34
2026/09/23 21:27:17.522, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 17.84 W, 32
2026/09/23 21:27:22.531, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 15.33 W, 32
2026/09/23 21:27:27.541, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 14.04 W, 31
